"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","Epoch..TDB.","e","i..deg.","w..deg.","Node..deg.","q..AU.","Q..AU.","P..yr.","MOID..AU.","A1..AU.d.2.","A2..AU.d.2.","A3..AU.d.2.","DT..d.","ref","Object_name","crush","avg_speed"
"Elephant Moraine 87849",8399,"Valid","L6",12.7,"Found",1987,-76.28132,156.45901,"(-76.28132, 156.45901)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87850",8400,"Valid","CR2",14.5,"Found",1987,-76.03264,156.0329,"(-76.03264, 156.0329)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87851",8401,"Valid","LL5",18.5,"Found",1987,-76.04195,156.09487,"(-76.04195, 156.09487)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87852",8402,"Valid","L6",3.8,"Found",1987,-76.03736,156.10856,"(-76.03736, 156.10856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87853",8403,"Valid","L6",6.2,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87854",8404,"Valid","L6",3.8,"Found",1987,-76.28451,156.45041,"(-76.28451, 156.45041)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87855",8405,"Valid","L6",29,"Found",1987,-76.28342,156.45264,"(-76.28342, 156.45264)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87856",8406,"Valid","L6",4.3,"Found",1987,-76.27141,156.51211,"(-76.27141, 156.51211)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 87859",8409,"Valid","H5",33,"Found",1987,-76.18333,157.16667,"(-76.18333, 157.16667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 90002",8412,"Valid","CK5",28,"Found",1990,-76.27929,156.39567,"(-76.27929, 156.39567)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 90003",8413,"Valid","CK5",30.8,"Found",1990,-76.29145,156.411,"(-76.29145, 156.411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
